python,英 [?pa?θ?n]美 [?pa?θɑn],n. 巨蛇，大蟒;
example,英 [?g?zɑ:mpl]美 [?g?z?mpl],n. 例子; 范例; 榜样; 先例; vt. 作为…的例子; 为…做出榜样; vi. 举例; 作为…
class,英 [klɑ:s]美 [kl?s],n. 班; 阶级; 等级; 种类; vt. 把…归入某等级，把…看作（或分类、归类）; 把…编入某一
function,英 [?f??k?n]美 [?f??k??n],n. 功能，作用; 应变量，函数; 职务; 重大聚会; vi. 有或起作用; 行使职责;
return,英 [r??t?:n]美 [r??t?rn],v. 回转，返回; 复发，又来; 送还; 言归正传; n. 归来，返乡; 来回，汇成; 赢利; 统计
import,英 [??mp?:t]美 [??mp?rt],n. 输入; 进口，进口商品; 重要性; 意义; vt. 输入，进口; 对…有重大关系; 意味着; 
print,英 [pr?nt]美 [pr?nt],n. （由底片印出的）照片; 印刷字体; 印痕; 印成的图画; vt. （在松软的表面）压印; 把…
value,英 [?v?lju:]美 [?v?lju],n. 价值，价格; 意义，涵义; 重要性; （邮票的）面值; vt. 评价; 重视，看重; 估价，给
method,英 [?meθ?d]美 [?m?θ?d],n. 方法; 条理;
object,英 [??bd??kt]美 [?ɑbd?ekt],n. 物体; 目标; 宾语; 客体，对象; vi. 不赞成，反对; 抱反感; vt. 提出…作反对的
module,英 [?m?dju:l]美 [?mɑd?ul],n. 模块; 组件; （宇宙飞船上各个独立的）舱; 测量流水等的单位;
array,英 [??re?]美 [?'re?],n. 数组; 队列，阵列; 一大批; 衣服; vt. 排列; 部署兵力; 打扮，装饰;
string,英 [str??]美 [str??],n. 串; 绳子，带子; 线丝，植物纤维; [计算机科学]字符串; vt. 上弦，调弦; 使排成一行
instance,英 [??nst?ns]美 [??nst?ns],n. 情况; 例子，实例; 要求，建议; [法]诉讼手续; vt. 举…为例;
stack,英 [st?k]美 [st?k],n. 垛，干草堆; （一排）烟囱; 层积; 整个的藏书架排列; vt.& vi. 堆成堆，垛; 堆起
problem,英 [?pr?bl?m]美 [?prɑbl?m],n. 问题; 疑难问题; 习题; 引起麻烦的人; adj. 成问题的; 难处理的; 关于社会问题的;
chapter,英 [?t??pt?(r)]美 [?t??pt?],n. 章，回; （俱乐部、协会等的）分会; 人生或历史上的重要时期; vt. 把…分成章节;
documentation,英 [?d?kjumen?te??n]美 [?dɑkjumen?te??n],n. 记录; 证明某事属实的证据; 参考资料; 文献的编集，文件分类;
FALSE,英 [f?:ls]美 [f?ls],adj. 虚伪的; 不正的，非法的; 假造的，摹造的; 临时的; adv. 欺诈地; 叛卖地;
point,英 [p??nt]美 [p??nt],n. 点; 要点; 得分; 标点; vt. （意思上）指向; 削尖; 加标点于; 指路; vi. 指
result,英 [r??z?lt]美 [r??z?lt],n. 结果; （尤指足球比赛的）胜利; [体]比分; 成功实现的事; vi. 发生，产生; 归结为，
request,英 [r??kwest]美 [r??kw?st],n. 要求; 需要; 所请求的事物; 申请书; vt. （下级对上级的）请求; 请求得到; 索取; 
default,英 [d??f?:lt]美 [d??f?lt],vi. 未履行任务或责任; 受传唤时未出庭; 由于不到庭而败诉; 弃权; vt. 未履行，拖欠; 未
number,英 [?n?mb?(r)]美 [?n?mb?],n. 数量; 号码; 数字; 编号; v. 标号; 总计; 把…算作;
format,英 [?f?:m?t]美 [?f?rm?t],n. （出版物的）版式; [自]（数据安排的）形式; 电视节目的总安排（或计划）; vt. 使格式化
create,英 [kri?e?t]美 [kri?et],vt. 产生; 创造，创作; 封爵，把…封为（贵族）; vi. [英][俚]大发脾气，大发牢骚;
argument,英 [?ɑ:gjum?nt]美 [?ɑrgjum?nt],n. 论据; 争论，争吵; [数]幅角; 主题，情节;
attribute,英 [??tr?bju:t]美 [??tr?bjut],vt. 认为…是; 把…归于; 把…品质归于某人; 认为某事[物]属于某人[物]; n. 属性; （
output,英 [?a?tp?t]美 [?a?t?p?t],n. 输出; 产量; 作品; [计]输出信号; vt. 输出;
classes,英 [klɑ:s?z]美 [klɑs?z],n. 阶级; 等级; 班( class的名词复数 ); 种类;
order,英 [??:d?(r)]美 [??rd?(r)],n. 秩序; 命令; 次序; 规则，制度; vt. 命令; 订购; 整理; vi. 下订单;
script,英 [skr?pt]美 [skr?pt],n. 脚本，手迹; 书写体铅字; 剧本、广播稿或者电影剧本; vt. 为电影（或戏剧等）写剧本; 编
input,英 [??np?t]美 [??n?p?t],n. 输入，投入; 输入电路; <电>输入端; 输入的数据; vt. 把…输入电脑; [自][电子]
simple,英 [?s?mpl]美 [?s?mp?l],adj. 简单的; 单纯的; 易受骗的; 天真的; n. 笨蛋; 愚蠢的行为; 出身低微者;
following,英 [?f?l????]美 [?fɑlo???],adj. 后面的，其次的; 下列的; 顺风的; n. 跟随; 崇拜者，拥护者; 下列，如下; 随球;
start,英 [stɑ:t]美 [stɑrt],n. 开始; 动身; 开动; 起点; vt.& vi. 出发，启程; vt. 起动; 提出（问题）;
document,英 [?d?kjum?nt]美 [?dɑkjum?nt],n. 公文; （计算机）文档，证件; vt. 记录; 证明; 为…提供证明;
release,英 [r??li:s]美 [r?'lis],vt. 释放; 发布; 发行; 放开; n. 释放，排放，解除; 释放令; 公映的新影片，发布的新闻
instead,英 [?n?sted]美 [?n?st?d],adv. 反而; 代替，顶替; 反倒;
discussion,英 [d??sk??n]美 [d??sk???n],n. 讨论，谈论; 详述，论述;
different,英 [?d?fr?nt]美 [?d?fr?nt],adj. 不同的; 各式各样的; 个别的; 不平常;
library,英 [?la?br?ri]美 [?la?breri],n. 藏书; 图书馆，藏书楼; 书屋，书斋; 图书出租处;
version,英 [?v?:?n]美 [?v?r?n],n. 版本; 译文，译本; 说法; 倒转术;
decorator,英 [?dek?re?t?(r)]美 [?d?k??ret?],n. 室内装饰师，油漆匠; adj. 适于室内装饰的;
sample,英 [?sɑ:mpl]美 [?s?mpl],n. 样品，华样; 标本，榜样; （化验的）取样; [信]信号瞬时值; vt. 取…的样品，尤指用样
server,英 [?s?:v?(r)]美 [?s?rv?(r)],n. 服务器 ; 侍者; 上菜用具; 发球者;
common,英 [?k?m?n]美 [?kɑm?n],adj. 普通的; 通俗的; [数学]公共的; 共有的; n. 普通; [法律]（对土地、水域的）共
dictionary,英 [?d?k??nri]美 [?d?k??neri],n. 词典，字典; [自]代码字典;
program,英 [?pr??gr?m]美 [?pro?gr?m],n. 程序; 节目，节目单; 计划，安排; v. [计]给…编写程序; 为…制定计划; 设计安排活动
level,英 [?levl]美 [?l?v?l],n. 水平，水准; 水平线，水平面; 水平仪; [物]电平; adj. 水平的; 同高度的; 平均的
raise,英 [re?z]美 [rez],v. 筹集; 提升; 增加; 养育; n. 提升; 增加; 举起; 高处;
service,英 [?s?:v?s]美 [?s?rv?s],n. 服役; 服务，服侍; 服务业; 维修服务; vt. 检修，维修; 向…提供服务; 保养; 满足
simply,英 [?s?mpli]美 [?s?mpli],adv. 简直; 简单地，朴素地; （引出概括或解释）不过，仅仅; <非正>实在;
error,英 [?er?(r)]美 [??r?],n. 错误，过失; [法]误审，违法; [数]误差;
programming,英 [?pr??gr?m??]美 [?pro?gr?m??],n. 编程; 规划，设计; v. 训练( programme的现在分词 ); 培养; 预调;
index,英 [??ndeks]美 [??n?d?ks],n. 索引; <数>指数; 指示; 标志; vt. 给…编索引; 把…编入索引; [经济学]按生活指
exception,英 [?k?sep?n]美 [?k?s?p??n],n. 例外，除外; 反对，批评; [法律]异议，反对;
built,英 [b?lt]美 [b?lt],v. build的过去式和过去分词; adj. …建成的; 身段优美的; 有特定体格的;
statement,英 [?ste?tm?nt]美 [ ?stetm?nt],n. 声明; （思想、观点、文章主题等的）表现; （文字）陈述; 结算单; vi. （英国）对儿童进
recipe,英 [?res?pi]美 [?res?pi],n. 食谱; 处方; 秘诀
information,英 [??nf??me??n]美 [??nf?r?me??n],n. 消息; 信息，数据; 通知; 知识;
title,英 [?ta?tl]美 [?ta?tl],n. 标题; 头衔; [体]冠军; [影视]字幕; vt. 加标题; 赋予头衔; 把…称为; adj
support,英 [s??p?:t]美 [s??p?rt],vt. 支持; 支撑; 帮助; 维持; n. 支撑; 支持者; [数学]支集; 支撑物;
sequence,"英 [?si:kw?ns]美 [?sikw?ns, -?kw?ns]",n. 顺序; [数]数列，序列; 连续; 片断插曲; vt. 使按顺序排列，安排顺序; [生化]确定
model,英 [?m?dl]美 [?mɑdl],n. 模型; 模式; 模特儿; 典型; vt.& vi. 做模特儿; vt. 模仿; 制作模型，塑造
language,英 [?l??gw?d?]美 [?l??ɡw?d?],n. 语言，语言文字; 表达能力; 言语，语风，文风，文体; 专门用语，术语;
multiple,英 [?m?lt?pl]美 [?m?lt?p?l],adj. 多重的; 多个的; 复杂的; 多功能的; n. <数>倍数; [电工学]并联; 连锁商店;
reference,"英 [?refr?ns]美 [?r?f?r?ns, ?r?fr?ns]",n. 参考; 参考书; 提及，涉及; 证明人，介绍人; v. 引用; 参照;
directory,"英 [d??rekt?ri]美 [d??r?kt?ri, da?-]",n. 人名地址录，（电话）号码簿; （计算机文件或程序的）目录; adj. 指导的，指挥的; 咨询的
memory,英 [?mem?ri]美 [?m?m?ri],n. 记忆，记忆力; 回忆，往事; [计]存储器，内存;
double,英 [?d?bl]美 [?d?b?l],adj. 双的; 两倍的; 两面派的; 双人用的; vt. 使加倍; 把…对折; 重复; vi. 加
variable,英 [?ve?ri?bl]美 [?veri?bl],adj. 变化的，可变的; [数]变量的; [生]变异的; n. 可变因素，变量; 易变的东西;
